id;name;original_language;first_air_date;production_companies[0].name;production_companies[1].name;production_companies[2].name
935;Gadget Boy & Heather;en;09/09/1995;France Animation;DiC Entertainment;M6
936;Super Friends;en;08/09/1973;-;-;-
937;Behind the Music;en;17/08/1997;-;-;-
938;Gabriel's Fire;en;12/09/1990;-;-;-
940;Our Place;en;12/12/2012;-;-;-
941;Nick Rocks;en;12/12/2012;-;-;-
942;Monkey Trousers;en;20/05/2005;-;-;-
943;Robot Wars;en;02/01/1998;-;-;-
944;Broadway Open House;en;29/05/1950;-;-;-
945;Burke's Law;en;20/09/1963;-;-;-
946;Take Hart;en;15/02/1977;-;-;-
947;Cheyenne;en;20/09/1955;Warner Bros. Television;-;-
948;Liquid Television;en;02/06/1991;Colossal Pictures;-;-
950;The Jackie Gleason Show;en;17/09/1966;-;-;-
951;The Archie Show;en;14/06/1968;Filmation Associates;-;-
952;The Adventures of Ozzie and Harriet;en;03/10/1952;-;-;-
953;Maverick;en;22/09/1957;Warner Bros. Television;-;-
954;The Rockford Files;en;13/09/1974;Universal Television;Roy Huggins-Public Arts Productions;Cherokee Productions
956;The New Fred and Barney Show;;12/12/2012;-;-;-
958;Beast Wars: Transformers;en;22/04/1996;Mainframe Entertainment;Hasbro;Alliance Atlantis
959;Slime Time Live;en;12/12/2012;-;-;-
960;Knowing Me Knowing You with Alan Partridge;en;16/09/1994;-;-;-
961;B. J. and the Bear;en;10/02/1979;Universal Television;Glen A. Larson Productions;-
962;Jonny Quest;en;18/09/1964;-;-;-
963;Captain Video and His Video Rangers;en;12/12/2012;-;-;-
964;The Ghost Busters;en;06/09/1975;Filmation Associates;-;-
965;Where in the World Is Carmen Sandiego?;en;30/09/1991;-;-;-
966;Hollyoaks;en;23/10/1995;Mersey Television;-;-
967;The Huckleberry Hound Show;;12/12/2012;-;-;-
968;Groovie Goolies;en;12/09/1970;-;-;-
969;That's Incredible!;en;03/03/1980;Alan Landsburg Productions;-;-
970;Duet;en;19/04/1987;-;-;-
971;WKRP in Cincinnati;en;18/09/1978;MTM Enterprises;Company Four;-
972;Budgie;en;09/04/1971;LWT;-;-
973;The Book of Pooh;;12/12/2012;-;-;-
974;Raw Toonage;en;19/09/1992;Disney Television Animation;Marsu Productions;-
975;The Saturday Night Armistice;en;24/06/1995;-;-;-
976;Extreme Makeover;;12/12/2012;-;-;-
977;Harper Valley;en;16/01/1981;Universal Television;Ten Four Productions;-
980;Trackdown;en;04/10/1957;Four Stars Productions;CBS;-
981;The Danny Thomas Show;en;29/09/1953;T & L Productions;Marterto Productions;CBS
982;Transformers: Armada;ja;23/08/2002;Actas;NAS;-
983;Department S;en;09/09/1969;-;-;-
984;Fist of Fun;en;11/04/1995;Go Faster Stripe;BBC;-
985;Wacky Races;en;14/09/1968;Merrill Heatter-Bob Quigley Productions;Hanna-Barbera Productions;-
987;General Hospital;en;01/04/1963;Disney Branded Television;Selmur Productions;-
988;The Rookies;en;11/09/1972;-;-;-
989;Emergency Vets;en;12/12/2012;-;-;-
990;Big Brother;en;23/04/2001;EndemolShine Australia;Southern Star Entertainment;-
991;Naked Video;en;12/05/1986;-;-;-
992;Tiswas;en;05/01/1974;Associated Television (ATV);-;-
993;The Joe Schmo Show;;12/12/2012;-;-;-
994;Inspector Rex;de;10/11/1994;Mungo Film;Taurus Film;ORF
995;The Kids of Degrassi Street;en;12/09/1979;-;-;-
996;Spenser: For Hire;en;20/09/1985;-;-;-
997;Wild Square;ko;01/08/2021;-;-;-
998;Loving;en;26/06/1983;Dramatic Creations Inc.;-;-
999;Best Week Ever;en;23/01/2004;VH1 Television;VH1 Productions;-
1002;Bizarre;en;18/09/1980;-;-;-
1004;Cinematech;en;12/12/2012;-;-;-
1014;EP Daily;en;20/09/1997;CityTV;-;-
1018;Bonanza;en;12/09/1959;NBC;-;-
1019;I Love the '70s;en;12/12/2012;-;-;-
1020;December Bride;en;04/10/1954;Desilu Productions;CBS;-
1021;Casualty;en;06/09/1986;-;-;-
1023;Blackpool;en;11/11/2004;-;-;-
1024;The XYY Man;;12/12/2012;-;-;-
1025;The Bullwinkle Show;en;19/11/1959;Jay Ward Productions;P.A.T.;-
1027;The Carol Burnett Show;en;11/09/1967;-;-;-
1030;Bourbon Street Beat;en;05/10/1959;-;-;-
1032;Aída;es;16/01/2005;Mediaset España;Globomedia;-
1033;Flo;en;24/03/1980;Warner Bros. Television;-;-
1038;The Mary Tyler Moore Hour;en;04/04/1979;-;-;-
1039;Trapper John, M.D.;en;23/09/1979;20th Century Fox Television;-;-
1042;Revolutionary Girl Utena;ja;02/04/1997;Tokyo Laboratory;J.C.STAFF;-
1043;Ouran High School Host Club;;12/12/2012;-;-;-
1044;Planet Earth;en;05/03/2006;BBC;NHK;Discovery Channel
1045;pizza;en;12/12/2012;-;-;-
1047;The Bob Hope Show;en;12/12/2012;-;-;-
1048;The Colgate Comedy Hour;en;10/09/1950;Colgate-Palmolive-Peet;NBC;-
1052;Fat Friends;en;12/10/2000;-;-;-
1054;The Young and the Restless;en;26/03/1973;CBS Studios;Screen Gems;Columbia Pictures Television
1056;Doctor Who Confidential;en;26/03/2005;BBC;-;-
1057;K-9 and Company;en;28/12/1981;-;-;-
1058;The Roly Mo Show;;12/12/2012;-;-;-
1059;T. J. Hooker;en;13/03/1982;Spelling-Goldberg Productions;Columbia Pictures Television;-
1061;Truth or Consequences;en;07/09/1950;-;-;-
1065;Mirage of Blaze;ja;07/01/2002;Aniplex;-;-
1067;Phyllis;en;08/09/1975;-;-;-
1069;The 13 Ghosts of Scooby-Doo;en;07/09/1985;Hanna-Barbera Productions;-;-
1071;The Richie Rich/Scooby-Doo Show and Scrappy Too!;en;08/11/1980;Hanna-Barbera Productions;Harvey Comics Publications;-
1072;Scooby's All-Star Laff-A-Lympics;en;10/09/1977;Hanna-Barbera Productions;-;-
1073;I'm Alan Partridge;en;03/11/1997;Talkback;-;-
1074;Tabitha;en;07/05/1977;-;-;-
1075;The Wedge;en;12/12/2012;-;-;-
1076;Suddenly Susan;en;19/09/1996;-;-;-
1084;New Zealand Idol;en;12/12/2012;-;-;-
1087;Serial Experiments Lain;ja;06/07/1998;Pioneer LDC;Triangle Staff;-
1094;The O'Reilly Factor;en;12/12/2012;-;-;-
